SensorID,Timestamp,hourly_avg,diff,trend
1,2020-01-01 00:00:00+00:00,155.21349999999998,0.0,-1
1,2020-01-01 01:00:00+00:00,142.91516666666666,-12.298333333333318,-1
1,2020-01-01 02:00:00+00:00,130.04675,-12.868416666666661,-1
1,2020-01-01 03:00:00+00:00,127.57858333333334,-2.4681666666666615,-1
1,2020-01-01 04:00:00+00:00,136.63241666666667,9.05383333333333,1
1,2020-01-01 05:00:00+00:00,149.0016666666667,12.369250000000022,1
1,2020-01-01 06:00:00+00:00,154.63166666666666,5.629999999999967,1
1,2020-01-01 07:00:00+00:00,155.79533333333333,1.1636666666666713,1
1,2020-01-01 08:00:00+00:00,156.87191666666666,1.076583333333332,1
1,2020-01-01 09:00:00+00:00,154.35766666666666,-2.514250000000004,-1
2,2020-01-01 10:00:00+00:00,152.68541666666667,0.0,-1
2,2020-01-01 11:00:00+00:00,150.92558333333332,-1.7598333333333471,-1
2,2020-01-01 12:00:00+00:00,148.74608333333333,-2.1794999999999902,-1
2,2020-01-01 13:00:00+00:00,150.06824999999998,1.3221666666666465,1
2,2020-01-01 14:00:00+00:00,154.28108333333333,4.21283333333335,1
2,2020-01-01 15:00:00+00:00,156.44566666666665,2.1645833333333258,1
2,2020-01-01 16:00:00+00:00,152.87083333333334,-3.5748333333333164,-1
2,2020-01-01 17:00:00+00:00,164.00208333333333,11.131249999999994,1
2,2020-01-01 18:00:00+00:00,168.8649166666667,4.862833333333356,1
2,2020-01-01 19:00:00+00:00,168.41,-0.4549166666666906,-1
2,2020-01-01 20:00:00+00:00,167.98250000000002,-0.4274999999999807,-1
2,2020-01-01 21:00:00+00:00,159.79433333333333,-8.188166666666689,-1
2,2020-01-01 22:00:00+00:00,162.20183333333335,2.4075000000000273,1
2,2020-01-01 23:00:00+00:00,158.40566666666666,-3.796166666666693,-1
3,2020-03-01 00:00:00+00:00,130.41133333333337,0.0,-1
3,2020-03-01 01:00:00+00:00,120.23116666666668,-10.180166666666693,-1
3,2020-03-01 02:00:00+00:00,113.43033333333332,-6.800833333333358,-1
3,2020-03-01 03:00:00+00:00,112.55733333333332,-0.8730000000000047,-1
3,2020-03-01 04:00:00+00:00,120.99733333333332,8.439999999999998,1
3,2020-03-01 05:00:00+00:00,125.18366666666668,4.186333333333366,1
3,2020-03-01 06:00:00+00:00,120.50166666666668,-4.682000000000002,-1
3,2020-03-01 07:00:00+00:00,121.46716666666666,0.9654999999999774,1
3,2020-03-01 08:00:00+00:00,118.75833333333334,-2.7088333333333168,-1
3,2020-03-01 09:00:00+00:00,116.13716666666666,-2.6211666666666815,-1
3,2020-03-01 10:00:00+00:00,115.45716666666668,-0.6799999999999784,-1
3,2020-03-01 11:00:00+00:00,114.691,-0.7661666666666775,-1
3,2020-03-01 12:00:00+00:00,119.05533333333332,4.36433333333332,1
3,2020-03-01 13:00:00+00:00,120.004,0.9486666666666821,1
3,2020-03-01 14:00:00+00:00,120.65583333333332,0.6518333333333146,1
3,2020-03-01 15:00:00+00:00,127.05666666666666,6.400833333333338,1
3,2020-03-01 16:00:00+00:00,137.4851666666667,10.428500000000028,1
3,2020-03-01 17:00:00+00:00,157.23483333333334,19.749666666666656,1
3,2020-03-01 18:00:00+00:00,167.79716666666667,10.562333333333328,1
3,2020-03-01 19:00:00+00:00,169.72400000000002,1.9268333333333487,1
3,2020-03-01 20:00:00+00:00,169.6701666666667,-0.05383333333332985,-1
3,2020-03-01 21:00:00+00:00,167.21483333333333,-2.455333333333357,-1
3,2020-03-01 22:00:00+00:00,159.83716666666666,-7.37766666666667,-1
3,2020-03-01 23:00:00+00:00,149.99716666666666,-9.840000000000003,-1
